;index_classifier;date;reunion;course;numPmu;place;nom;rapport;specialite;hippo_code
189;sgdclassifier;17/02/2023;5;2;1.0;1;KAROLA;6.2;trot attele;WOL
190;sgdclassifier;17/02/2023;5;2;5.0;1;KILIMANJARO;4.1;trot attele;WOL
192;sgdclassifier;17/02/2023;5;2;7.0;1;KING SCHERMER;2.4;trot attele;WOL
210;sgdclassifier;17/02/2023;5;3;9.0;1;MEXX LADY;4.3;trot attele;WOL
208;sgdclassifier;17/02/2023;5;4;7.0;1;JOYAU D'ALBATRE;1.7;trot attele;WOL
202;sgdclassifier;17/02/2023;5;6;3.0;1;MUSCLE REX;1.1;trot attele;WOL
194;sgdclassifier;17/02/2023;5;7;2.0;1;MOWGLI HANOVER;4.3;trot attele;WOL
195;sgdclassifier;17/02/2023;5;7;6.0;1;NOVA RAINHA;4.3;trot attele;WOL
196;sgdclassifier;17/02/2023;5;7;7.0;1;MOHAWK RIVER;1.4;trot attele;WOL
110;kneighborsclassifier;17/02/2023;6;1;5.0;1;HEROS DE LAGARDE;5.4;plat;DUB
112;kneighborsclassifier;17/02/2023;6;1;10.0;1;RB KING RATH;6.5;plat;DUB
115;kneighborsclassifier;17/02/2023;6;2;2.0;1;MUTARAFFA;0.0;plat;DUB
133;sgdclassifier;17/02/2023;6;3;3.0;1;AWASEF;1.7;plat;DUB
136;sgdclassifier;17/02/2023;6;3;7.0;1;SOLAIRE;6.2;plat;DUB
133;kneighborsclassifier;17/02/2023;6;3;3.0;1;AWASEF;1.7;plat;DUB
136;kneighborsclassifier;17/02/2023;6;3;7.0;1;SOLAIRE;6.2;plat;DUB
133;decisiontreeclassifier;17/02/2023;6;3;3.0;1;AWASEF;1.7;plat;DUB
133;adaboostclassifier;17/02/2023;6;3;3.0;1;AWASEF;1.7;plat;DUB
134;adaboostclassifier;17/02/2023;6;3;5.0;1;MIMI KAKUSHI;2.6;plat;DUB
140;sgdclassifier;17/02/2023;6;4;6.0;1;NEW KINGDOM;2.1;plat;DUB
145;sgdclassifier;17/02/2023;6;4;13.0;1;TRANQUIL NIGHT;2.5;plat;DUB
140;kneighborsclassifier;17/02/2023;6;4;6.0;1;NEW KINGDOM;2.1;plat;DUB
140;decisiontreeclassifier;17/02/2023;6;4;6.0;1;NEW KINGDOM;2.1;plat;DUB
145;decisiontreeclassifier;17/02/2023;6;4;13.0;1;TRANQUIL NIGHT;2.5;plat;DUB
140;adaboostclassifier;17/02/2023;6;4;6.0;1;NEW KINGDOM;2.1;plat;DUB
145;adaboostclassifier;17/02/2023;6;4;13.0;1;TRANQUIL NIGHT;2.5;plat;DUB
151;sgdclassifier;17/02/2023;6;5;10.0;1;SISKANY;1.8;plat;DUB
